Barcelona 1992 Olympics: This countries medal tally was: 0  Gold, 2  Silver, 0  Bronze, 2 in Total`south africa
Seoul 1988 Olympics: This countries medal tally was: 5 Gold, 11 Silver, 12 Bronze, 29 in Total`china
Seoul 1988 Olympics: This countries medal tally was: 7 Gold, 11 Silver, 6 Bronze, 24 in Total`romania
Seoul 1988 Olympics: This countries medal tally was: 5 Gold, 10 Silver, 9 Bronze, 24 in Total`great britain
Seoul 1988 Olympics: This countries medal tally was: 11 Gold, 6 Silver, 6 Bronze, 23 in Total`hungary
Seoul 1988 Olympics: This countries medal tally was: 6 Gold, 4 Silver, 6 Bronze, 16 in Total`france
Seoul 1988 Olympics: This countries medal tally was: 2 Gold, 5 Silver, 9 Bronze, 16 in Total`poland
Seoul 1988 Olympics: This countries medal tally was: 6 Gold, 4 Silver, 4 Bronze, 14 in Total`italy
Seoul 1988 Olympics: This countries medal tally was: 3 Gold, 6 Silver, 5 Bronze, 14 in Total`australia
Seoul 1988 Olympics: This countries medal tally was: 4 Gold, 3 Silver, 7 Bronze, 14 in Total`japan
Seoul 1988 Olympics: This countries medal tally was: 3 Gold, 2 Silver, 8 Bronze, 13 in Total`new zealand
Seoul 1988 Olympics: This countries medal tally was: 3 Gold, 4 Silver, 5 Bronze, 12 in Total`yugoslavia
Seoul 1988 Olympics: This countries medal tally was: 0 Gold, 4 Silver, 7 Bronze, 11 in Total`sweden
Seoul 1988 Olympics: This countries medal tally was: 3 Gold, 2 Silver, 5 Bronze, 10 in Total`canada
Seoul 1988 Olympics: This countries medal tally was: 5 Gold, 2 Silver, 2 Bronze, 9 in Total`kenya
Seoul 1988 Olympics: This countries medal tally was: 2 Gold, 2 Silver, 5 Bronze, 9 in Total`netherlands
Seoul 1988 Olympics: This countries medal tally was: 3 Gold, 3 Silver, 2 Bronze, 8 in Total`czechoslovakia
Seoul 1988 Olympics: This countries medal tally was: 1 Gold, 2 Silver, 3 Bronze, 6 in Total`brazil
Seoul 1988 Olympics: This countries medal tally was: 2 Gold, 3 Silver, 0 Bronze, 5 in Total`norway
Seoul 1988 Olympics: This countries medal tally was: 2 Gold, 1 Silver, 1 Bronze, 4 in Total`denmark
Seoul 1988 Olympics: This countries medal tally was: 1 Gold, 1 Silver, 2 Bronze, 4 in Total`finland
Seoul 1988 Olympics: This countries medal tally was: 1 Gold, 1 Silver, 2 Bronze, 4 in Total`spain
Seoul 1988 Olympics: This countries medal tally was: 0 Gold, 2 Silver, 2 Bronze, 4 in Total`switzerland
Seoul 1988 Olympics: This countries medal tally was: 1 Gold, 0 Silver, 2 Bronze, 3 in Total`morocco
Seoul 1988 Olympics: This countries medal tally was: 1 Gold, 1 Silver, 0 Bronze, 2 in Total`turkey
Seoul 1988 Olympics: This countries medal tally was: 0 Gold, 2 Silver, 0 Bronze, 2 in Total`jamaica
Seoul 1988 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 1 Bronze, 2 in Total`argentina
Seoul 1988 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 2 Bronze, 2 in Total`belgium
Seoul 1988 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 2 Bronze, 2 in Total`mexico
Seoul 1988 Olympics: This countries medal tally was: 1 Gold, 0 Silver, 0 Bronze, 1 in Total`austria
Seoul 1988 Olympics: This countries medal tally was: 1 Gold, 0 Silver, 0 Bronze, 1 in Total`portugal
Seoul 1988 Olympics: This countries medal tally was: 1 Gold, 0 Silver, 0 Bronze, 1 in Total`suriname
Seoul 1988 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 0 Bronze, 1 in Total`chile
Seoul 1988 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 0 Bronze, 1 in Total`costa rica
Seoul 1988 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 0 Bronze, 1 in Total`indonesia
Seoul 1988 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 0 Bronze, 1 in Total`iran
Seoul 1988 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 0 Bronze, 1 in Total`netherland antilles
Seoul 1988 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 0 Bronze, 1 in Total`peru
Seoul 1988 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 0 Bronze, 1 in Total`senegal
Seoul 1988 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 0 Bronze, 1 in Total`virgin islands
Seoul 1988 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 1 Bronze, 1 in Total`colombia
Seoul 1988 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 1 Bronze, 1 in Total`djibouti
Seoul 1988 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 1 Bronze, 1 in Total`greece
Seoul 1988 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 1 Bronze, 1 in Total`mongolia
Seoul 1988 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 1 Bronze, 1 in Total`pakistan
Seoul 1988 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 1 Bronze, 1 in Total`philippines
Seoul 1988 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 1 Bronze, 1 in Total`thailand
Los Angeles 1984 Olympics: This countries medal tally was: 83 Gold, 61 Silver, 30 Bronze, 174 in Total`united states
Los Angeles 1984 Olympics: This countries medal tally was: 17 Gold, 19 Silver, 23 Bronze, 59 in Total`west germany
Los Angeles 1984 Olympics: This countries medal tally was: 20 Gold, 16 Silver, 17 Bronze, 53 in Total`romania
Los Angeles 1984 Olympics: This countries medal tally was: 10 Gold, 18 Silver, 16 Bronze, 44 in Total`canada
Los Angeles 1984 Olympics: This countries medal tally was: 15 Gold, 8 Silver, 9 Bronze, 32 in Total`china
Los Angeles 1984 Olympics: This countries medal tally was: 14 Gold, 6 Silver, 12 Bronze, 32 in Total`italy
Los Angeles 1984 Olympics: This countries medal tally was: 10 Gold, 8 Silver, 14 Bronze, 32 in Total`japan
Los Angeles 1984 Olympics: This countries medal tally was: 5 Gold, 7 Silver, 15 Bronze, 27 in Total`france
Los Angeles 1984 Olympics: This countries medal tally was: 4 Gold, 8 Silver, 12 Bronze, 24 in Total`australia
Los Angeles 1984 Olympics: This countries medal tally was: 5 Gold, 11 Silver, 7 Bronze, 19 in Total`great britain
Los Angeles 1984 Olympics: This countries medal tally was: 2 Gold, 11 Silver, 6 Bronze, 19 in Total`sweden
Los Angeles 1984 Olympics: This countries medal tally was: 7 Gold, 4 Silver, 7 Bronze, 18 in Total`yugoslavia
Los Angeles 1984 Olympics: This countries medal tally was: 5 Gold, 8 Silver, 6 Bronze, 13 in Total`netherlands
Los Angeles 1984 Olympics: This countries medal tally was: 4 Gold, 2 Silver, 6 Bronze, 13 in Total`finland
Los Angeles 1984 Olympics: This countries medal tally was: 8 Gold, 1 Silver, 2 Bronze, 11 in Total`new zealand
Los Angeles 1984 Olympics: This countries medal tally was: 1 Gold, 5 Silver, 2 Bronze, 8 in Total`brazil
Los Angeles 1984 Olympics: This countries medal tally was: 0 Gold, 4 Silver, 4 Bronze, 8 in Total`switzerland
Los Angeles 1984 Olympics: This countries medal tally was: 2 Gold, 3 Silver, 1 Bronze, 6 in Total`mexico
Los Angeles 1984 Olympics: This countries medal tally was: 0 Gold, 3 Silver, 3 Bronze, 6 in Total`denmark
Los Angeles 1984 Olympics: This countries medal tally was: 1 Gold, 2 Silver, 2 Bronze, 5 in Total`spain
Los Angeles 1984 Olympics: This countries medal tally was: 1 Gold, 1 Silver, 2 Bronze, 4 in Total`belgium
Los Angeles 1984 Olympics: This countries medal tally was: 1 Gold, 1 Silver, 1 Bronze, 3 in Total`austria
Los Angeles 1984 Olympics: This countries medal tally was: 1 Gold, 0 Silver, 2 Bronze, 3 in Total`portugal
Los Angeles 1984 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 2 Bronze, 3 in Total`jamaica
Los Angeles 1984 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 2 Bronze, 3 in Total`norway
Los Angeles 1984 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 3 Bronze, 3 in Total`turkey
Los Angeles 1984 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 3 Bronze, 3 in Total`venezuela
Los Angeles 1984 Olympics: This countries medal tally was: 2 Gold, 0 Silver, 0 Bronze, 2 in Total`morocco
Los Angeles 1984 Olympics: This countries medal tally was: 1 Gold, 0 Silver, 1 Bronze, 2 in Total`kenya
Los Angeles 1984 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 1 Bronze, 2 in Total`greece
Los Angeles 1984 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 1 Bronze, 2 in Total`nigeria
Los Angeles 1984 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 1 Bronze, 2 in Total`puerto rico
Los Angeles 1984 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 2 Bronze, 2 in Total`algeria
Los Angeles 1984 Olympics: This countries medal tally was: 1 Gold, 0 Silver, 0 Bronze, 1 in Total`pakistan
Los Angeles 1984 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 0 Bronze, 1 in Total`colombia
Los Angeles 1984 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 0 Bronze, 1 in Total`egypt
Los Angeles 1984 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 0 Bronze, 1 in Total`ireland
Los Angeles 1984 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 0 Bronze, 1 in Total`ivory coast
Los Angeles 1984 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 0 Bronze, 1 in Total`peru
Los Angeles 1984 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 0 Bronze, 1 in Total`syria
Los Angeles 1984 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 0 Bronze, 1 in Total`thailand
Los Angeles 1984 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 1 Bronze, 1 in Total`cameroon
Los Angeles 1984 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 1 Bronze, 1 in Total`dominic republic
Los Angeles 1984 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 1 Bronze, 1 in Total`iceland
Los Angeles 1984 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 1 Bronze, 1 in Total`taiwan
Los Angeles 1984 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 1 Bronze, 1 in Total`zambia
Moscow 1980 Olympics: This countries medal tally was: 80 Gold, 69 Silver, 46 Bronze, 195 in Total`soviet union
Moscow 1980 Olympics: This countries medal tally was: 47 Gold, 37 Silver, 42 Bronze, 126 in Total`east germany
Moscow 1980 Olympics: This countries medal tally was: 8 Gold, 16 Silver, 17 Bronze, 41 in Total`bulgaria
Moscow 1980 Olympics: This countries medal tally was: 7 Gold, 10 Silver, 15 Bronze, 32 in Total`hungary
Moscow 1980 Olympics: This countries medal tally was: 3 Gold, 14 Silver, 15 Bronze, 32 in Total`poland
Moscow 1980 Olympics: This countries medal tally was: 6 Gold, 6 Silver, 13 Bronze, 25 in Total`romania
Moscow 1980 Olympics: This countries medal tally was: 5 Gold, 7 Silver, 9 Bronze, 21 in Total`great britain
Moscow 1980 Olympics: This countries medal tally was: 8 Gold, 7 Silver, 5 Bronze, 20 in Total`cuba
Moscow 1980 Olympics: This countries medal tally was: 8 Gold, 3 Silver, 4 Bronze, 15 in Total`italy
Moscow 1980 Olympics: This countries medal tally was: 6 Gold, 5 Silver, 3 Bronze, 14 in Total`france
Moscow 1980 Olympics: This countries medal tally was: 2 Gold, 3 Silver, 9 Bronze, 14 in Total`czechoslovakia
Moscow 1980 Olympics: This countries medal tally was: 3 Gold, 3 Silver, 6 Bronze, 12 in Total`sweden
Moscow 1980 Olympics: This countries medal tally was: 2 Gold, 3 Silver, 4 Bronze, 9 in Total`yugoslavia
Moscow 1980 Olympics: This countries medal tally was: 2 Gold, 2 Silver, 5 Bronze, 9 in Total`australia
Moscow 1980 Olympics: This countries medal tally was: 3 Gold, 1 Silver, 4 Bronze, 8 in Total`finland
Moscow 1980 Olympics: This countries medal tally was: 1 Gold, 3 Silver, 2 Bronze, 6 in Total`spain
Moscow 1980 Olympics: This countries medal tally was: 2 Gold, 1 Silver, 2 Bronze, 5 in Total`denmark
Moscow 1980 Olympics: This countries medal tally was: 0 Gold, 3 Silver, 2 Bronze, 5 in Total`north korea
Moscow 1980 Olympics: This countries medal tally was: 2 Gold, 0 Silver, 2 Bronze, 4 in Total`brazil
Moscow 1980 Olympics: This countries medal tally was: 2 Gold, 0 Silver, 2 Bronze, 4 in Total`ethiopia
Moscow 1980 Olympics: This countries medal tally was: 1 Gold, 2 Silver, 1 Bronze, 4 in Total`austria
Moscow 1980 Olympics: This countries medal tally was: 0 Gold, 2 Silver, 2 Bronze, 4 in Total`monaco
Moscow 1980 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 3 Bronze, 4 in Total`mexico
Moscow 1980 Olympics: This countries medal tally was: 1 Gold, 0 Silver, 2 Bronze, 3 in Total`greece
Moscow 1980 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 2 Bronze, 3 in Total`netherlands
Moscow 1980 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 3 Bronze, 3 in Total`jamaica
Moscow 1980 Olympics: This countries medal tally was: 2 Gold, 0 Silver, 0 Bronze, 2 in Total`switzerland
Moscow 1980 Olympics: This countries medal tally was: 0 Gold, 2 Silver, 0 Bronze, 2 in Total`tanzania
Moscow 1980 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 1 Bronze, 2 in Total`ireland
Moscow 1980 Olympics: This countries medal tally was: 1 Gold, 0 Silver, 0 Bronze, 1 in Total`india
Moscow 1980 Olympics: This countries medal tally was: 1 Gold, 0 Silver, 0 Bronze, 1 in Total`belgium
Moscow 1980 Olympics: This countries medal tally was: 1 Gold, 0 Silver, 0 Bronze, 1 in Total`zimbabwe
Moscow 1980 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 0 Bronze, 1 in Total`uganda
Moscow 1980 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 0 Bronze, 1 in Total`venezuela
Moscow 1980 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 1 Bronze, 1 in Total`guyana
Moscow 1980 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 1 Bronze, 1 in Total`lebanon
Montreal 1976 Olympics: This countries medal tally was: 49 Gold, 41 Silver, 35 Bronze, 125 in Total`soviet union
Montreal 1976 Olympics: This countries medal tally was: 34 Gold, 35 Silver, 25 Bronze, 94 in Total`united states
Montreal 1976 Olympics: This countries medal tally was: 40 Gold, 25 Silver, 25 Bronze, 90 in Total`east germany
Montreal 1976 Olympics: This countries medal tally was: 10 Gold, 12 Silver, 17 Bronze, 39 in Total`west germany
Montreal 1976 Olympics: This countries medal tally was: 4 Gold, 9 Silver, 14 Bronze, 27 in Total`romania
Montreal 1976 Olympics: This countries medal tally was: 7 Gold, 6 Silver, 13 Bronze, 26 in Total`poland
Montreal 1976 Olympics: This countries medal tally was: 9 Gold, 6 Silver, 10 Bronze, 25 in Total`japan
Montreal 1976 Olympics: This countries medal tally was: 6 Gold, 9 Silver, 7 Bronze, 22 in Total`bulgaria
Montreal 1976 Olympics: This countries medal tally was: 4 Gold, 5 Silver, 13 Bronze, 22 in Total`hungary
Montreal 1976 Olympics: This countries medal tally was: 6 Gold, 4 Silver, 3 Bronze, 13 in Total`cuba
Montreal 1976 Olympics: This countries medal tally was: 3 Gold, 5 Silver, 5 Bronze, 13 in Total`great britain
Montreal 1976 Olympics: This countries medal tally was: 2 Gold, 7 Silver, 4 Bronze, 13 in Total`italy
Montreal 1976 Olympics: This countries medal tally was: 0 Gold, 5 Silver, 6 Bronze, 11 in Total`canada
Montreal 1976 Olympics: This countries medal tally was: 2 Gold, 3 Silver, 4 Bronze, 9 in Total`france
Montreal 1976 Olympics: This countries medal tally was: 2 Gold, 3 Silver, 3 Bronze, 8 in Total`yugoslavia
Montreal 1976 Olympics: This countries medal tally was: 2 Gold, 2 Silver, 4 Bronze, 8 in Total`czechoslovakia
Montreal 1976 Olympics: This countries medal tally was: 4 Gold, 2 Silver, 0 Bronze, 6 in Total`finland
Montreal 1976 Olympics: This countries medal tally was: 1 Gold, 1 Silver, 4 Bronze, 6 in Total`south korea
Montreal 1976 Olympics: This countries medal tally was: 0 Gold, 3 Silver, 3 Bronze, 6 in Total`belgium
Montreal 1976 Olympics: This countries medal tally was: 4 Gold, 1 Silver, 0 Bronze, 5 in Total`sweden
Montreal 1976 Olympics: This countries medal tally was: 0 Gold, 2 Silver, 3 Bronze, 5 in Total`netherlands
Montreal 1976 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 4 Bronze, 5 in Total`australia
Montreal 1976 Olympics: This countries medal tally was: 2 Gold, 1 Silver, 1 Bronze, 4 in Total`new zealand
Montreal 1976 Olympics: This countries medal tally was: 1 Gold, 1 Silver, 2 Bronze, 4 in Total`switzerland
Montreal 1976 Olympics: This countries medal tally was: 1 Gold, 0 Silver, 2 Bronze, 3 in Total`denmark
Montreal 1976 Olympics: This countries medal tally was: 1 Gold, 1 Silver, 0 Bronze, 2 in Total`jamaica
Montreal 1976 Olympics: This countries medal tally was: 1 Gold, 1 Silver, 0 Bronze, 2 in Total`north korea
Montreal 1976 Olympics: This countries medal tally was: 1 Gold, 1 Silver, 0 Bronze, 2 in Total`norway
Montreal 1976 Olympics: This countries medal tally was: 1 Gold, 0 Silver, 1 Bronze, 2 in Total`mexico
Montreal 1976 Olympics: This countries medal tally was: 0 Gold, 2 Silver, 0 Bronze, 2 in Total`portugal
Montreal 1976 Olympics: This countries medal tally was: 0 Gold, 2 Silver, 0 Bronze, 2 in Total`spain
Montreal 1976 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 1 Bronze, 2 in Total`iran
Montreal 1976 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 2 Bronze, 2 in Total`brazil
Montreal 1976 Olympics: This countries medal tally was: 1 Gold, 0 Silver, 0 Bronze, 1 in Total`trinidad
Montreal 1976 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 0 Bronze, 1 in Total`monaco
Montreal 1976 Olympics: This countries medal tally was: 0 Gold, 1 Silver, 0 Bronze, 1 in Total`venezuela
Montreal 1976 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 1 Bronze, 1 in Total`austria
Montreal 1976 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 1 Bronze, 1 in Total`puerto rico
Montreal 1976 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 1 Bronze, 1 in Total`bermuda
Montreal 1976 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 1 Bronze, 1 in Total`pakistan
Montreal 1976 Olympics: This countries medal tally was: 0 Gold, 0 Silver, 1 Bronze, 1 in Total`thailand
Sydney 2000 Olympics: How many GOLD medals were won by: United States of America`40
Sydney 2000 Olympics: How many GOLD medals were won by: Russia`32
Sydney 2000 Olympics: How many GOLD medals were won by: China`28
Sydney 2000 Olympics: How many GOLD medals were won by: Australia`16
Sydney 2000 Olympics: How many GOLD medals were won by: Germany`13
Sydney 2000 Olympics: How many GOLD medals were won by: France`13
Sydney 2000 Olympics: How many GOLD medals were won by: Italy`13
Sydney 2000 Olympics: How many GOLD medals were won by: Netherlands`12
Sydney 2000 Olympics: How many GOLD medals were won by: Cuba`11
Sydney 2000 Olympics: How many GOLD medals were won by: Great Britain`11
Sydney 2000 Olympics: How many GOLD medals were won by: Romania`11
Sydney 2000 Olympics: How many GOLD medals were won by: South Korea`8
Sydney 2000 Olympics: How many GOLD medals were won by: Hungary`8
Sydney 2000 Olympics: How many GOLD medals were won by: Poland`6
Sydney 2000 Olympics: How many GOLD medals were won by: Japan`5
Sydney 2000 Olympics: How many GOLD medals were won by: Bulgaria`5
Sydney 2000 Olympics: How many GOLD medals were won by: Greece`4
Sydney 2000 Olympics: How many GOLD medals were won by: Sweden`4
Sydney 2000 Olympics: How many GOLD medals were won by: Norway`4
Sydney 2000 Olympics: How many GOLD medals were won by: Ethiopia`4
Sydney 2000 Olympics: How many GOLD medals were won by: Ukraine`3
Sydney 2000 Olympics: How many GOLD medals were won by: Belarus`3
Sydney 2000 Olympics: How many GOLD medals were won by: Kazakhstan`3
Sydney 2000 Olympics: How many GOLD medals were won by: Canada`3
Sydney 2000 Olympics: How many GOLD medals were won by: Spain`3
Sydney 2000 Olympics: How many GOLD medals were won by: Turkey`3
Sydney 2000 Olympics: How many GOLD medals were won by: Iran`3
Sydney 2000 Olympics: How many GOLD medals were won by: Czech Republic`2
Sydney 2000 Olympics: How many GOLD medals were won by: Kenya`2
Sydney 2000 Olympics: How many GOLD medals were won by: Denmark`2
Sydney 2000 Olympics: How many GOLD medals were won by: Finland`2
Sydney 2000 Olympics: How many GOLD medals were won by: Austria`2
Sydney 2000 Olympics: How many GOLD medals were won by: Lithuania`2
Sydney 2000 Olympics: How many GOLD medals were won by: Azerbaijan`2
Sydney 2000 Olympics: How many GOLD medals were won by: Slovenia`2
Sydney 2000 Olympics: How many GOLD medals were won by: Switzerland`1
Sydney 2000 Olympics: How many GOLD medals were won by: Indonesia`1
Sydney 2000 Olympics: How many GOLD medals were won by: Slovakia`1
Sydney 2000 Olympics: How many GOLD medals were won by: Mexico`1
Sydney 2000 Olympics: How many GOLD medals were won by: Algeria`1
Sydney 2000 Olympics: How many GOLD medals were won by: Uzbekistan`1
Sydney 2000 Olympics: How many GOLD medals were won by: Yugoslavia`1
Sydney 2000 Olympics: How many GOLD medals were won by: Latvia`1
Sydney 2000 Olympics: How many GOLD medals were won by: Bahamas`1
Sydney 2000 Olympics: How many GOLD medals were won by: New Zealand`1
Sydney 2000 Olympics: How many GOLD medals were won by: Thailand`1
Sydney 2000 Olympics: How many GOLD medals were won by: Estonia`1
Sydney 2000 Olympics: How many GOLD medals were won by: Croatia`1
Sydney 2000 Olympics: How many GOLD medals were won by: Cameroon`1
Sydney 2000 Olympics: How many GOLD medals were won by: Colombia`1
Sydney 2000 Olympics: How many GOLD medals were won by: Mozambique`1
Sydney 2000 Olympics: How many GOLD medals were won by: Brazil`0
Sydney 2000 Olympics: How many GOLD medals were won by: Jamaica`0
Sydney 2000 Olympics: How many GOLD medals were won by: Nigeria`0
Sydney 2000 Olympics: How many GOLD medals were won by: Belgium`0
Sydney 2000 Olympics: How many GOLD medals were won by: South Africa`0
Sydney 2000 Olympics: How many GOLD medals were won by: Argentina`0
Sydney 2000 Olympics: How many GOLD medals were won by: Taiwan/Republic of China`0
Sydney 2000 Olympics: How many GOLD medals were won by: Morocco`0
Sydney 2000 Olympics: How many GOLD medals were won by: North Korea`0
Sydney 2000 Olympics: How many GOLD medals were won by: Trinidad and Tobago`0
Sydney 2000 Olympics: How many GOLD medals were won by: Moldova`0
Sydney 2000 Olympics: How many GOLD medals were won by: Saudi Arabia`0
Sydney 2000 Olympics: How many GOLD medals were won by: Ireland`0
Sydney 2000 Olympics: How many GOLD medals were won by: Uruguay`0
Sydney 2000 Olympics: How many GOLD medals were won by: Vietnam`0
Sydney 2000 Olympics: How many GOLD medals were won by: Georgia`0
Sydney 2000 Olympics: How many GOLD medals were won by: Portugal`0
Sydney 2000 Olympics: How many GOLD medals were won by: Costa Rica`0
Sydney 2000 Olympics: How many GOLD medals were won by: Sri Lanka`0
Sydney 2000 Olympics: How many GOLD medals were won by: India`0
Sydney 2000 Olympics: How many GOLD medals were won by: Qatar`0
Sydney 2000 Olympics: How many GOLD medals were won by: Kuwait`0
Sydney 2000 Olympics: How many GOLD medals were won by: Armenia`0
Sydney 2000 Olympics: How many GOLD medals were won by: Barbados`0
Sydney 2000 Olympics: How many GOLD medals were won by: Macedonia`0
Sydney 2000 Olympics: How many GOLD medals were won by: Chile`0
Sydney 2000 Olympics: How many GOLD medals were won by: Iceland`0
Sydney 2000 Olympics: How many GOLD medals were won by: Israel`0
Sydney 2000 Olympics: How many GOLD medals were won by: Kyrgyzstan`0
Atlanta 1996 Olympics: How many GOLD medals were won by: United States of America`42
Atlanta 1996 Olympics: How many GOLD medals were won by: Germany`19
Atlanta 1996 Olympics: How many GOLD medals were won by: Russia`25
Atlanta 1996 Olympics: How many GOLD medals were won by: China`14
Atlanta 1996 Olympics: How many GOLD medals were won by: Australia`7
Atlanta 1996 Olympics: How many GOLD medals were won by: Italy`13
Atlanta 1996 Olympics: How many GOLD medals were won by: France`14
Atlanta 1996 Olympics: How many GOLD medals were won by: South Korea`7
Atlanta 1996 Olympics: How many GOLD medals were won by: Cuba`9
Atlanta 1996 Olympics: How many GOLD medals were won by: Ukraine`9
Atlanta 1996 Olympics: How many GOLD medals were won by: Canada`3
Atlanta 1996 Olympics: How many GOLD medals were won by: Hungary`7
Atlanta 1996 Olympics: How many GOLD medals were won by: Romania`4
Atlanta 1996 Olympics: How many GOLD medals were won by: The Netherlands`4
